course,list,name,offered_w,offered_s,offered_f,easiness_rating,easiness_count,usefulness_rating,usefulness_count,interest_rating,interest_count,description
CHEM 123,1,"Chemical Reactions, Equilibria and Kinetics",True,True,False,0.5579710144927537,138,0.8394160583941606,137,0.6516129032258065,155,"Properties of liquids and solutions. Introduction to chemical equilibria. Principles of acid-base equilibria, solubility and electrochemical processes. Chemical kinetics. [Note: Science students must also take CHEM 123L. Offered: W,S]"
BIOL 130,2,Introductory Cell Biology,True,True,True,0.5521739130434783,230,0.8571428571428571,217,0.6150793650793651,252,"An introduction to the concepts of cell biology with emphasis on (1) the structural organization of the cell and (2) the function of critical molecular processes that are characteristic of living organisms. [Note: BIOL 130L may be required for entrance to certain professional/graduate programs. Offered: F,S,W]"
BIOL 130,1,Introductory Cell Biology,True,True,True,0.5521739130434783,230,0.8571428571428571,217,0.6150793650793651,252,"An introduction to the concepts of cell biology with emphasis on (1) the structural organization of the cell and (2) the function of critical molecular processes that are characteristic of living organisms. [Note: BIOL 130L may be required for entrance to certain professional/graduate programs. Offered: F,S,W]"
CHEM 254,2,Introductory Chemical Thermodynamics,True,True,False,0.5333333333333333,15,0.8666666666666667,15,0.625,16,"An introduction to the first, second and third laws of thermodynamics and the application of these laws to ideal systems, mixtures, and chemical reactions. Thermodynamic principles are used to study changes in state, including phase changes, and to establish the link between the equilibrium constant and the properties of the substances involved in a chemical reaction. [Offered: W,S]"
ENVS 200,1,Field Ecology,False,False,False,0.5192307692307693,52,0.7222222222222222,54,0.6363636363636364,55,"Introduces the main concepts and principles of ecology; the cycling of elements; energetics and structural organization of major ecological systems; population dynamics; impact of natural resource management practices and urban and industrial development on the environment; incorporating environmental quality considerations into development activities. The lab sessions include field trips to study natural and disturbed ecosystems, urban and applied ecology. "
PHYS 234,2,Quantum Physics 1,True,False,False,0.45161290322580644,31,0.8666666666666667,30,0.8387096774193549,31,"Background of quantum physics. Introduction to formalism of quantum physics. Introduction to operators. Quantization, waves and particles. The uncertainty principle. The Schroedinger equation for one-dimensional problems: bound states in square wells. Harmonic oscillator; transmission through barriers. [Note: PHYS 236 or knowledge of computational methods recommended. Offered: W, S]"
CHEM 209,2,Introductory Spectroscopy and Structure,False,False,True,0.38461538461538464,26,0.6666666666666666,24,0.6129032258064516,31,"The nature of electromagnetic radiation and an elementary outline of quantum mechanics in one dimension. For each of microwave, infrared, Raman, electronic, photoelectron, and nuclear magnetic resonance spectroscopy, the nature of the molecular energy levels involved and the type of molecular information that can be obtained using it are examined. [Offered: F]"
BIOL 110,2,Introductory Zoology,False,False,True,0.3684210526315789,57,0.5660377358490566,53,0.7457627118644068,59,A study of the functional morphology of selected animals with special emphasis on the various grades of organization and development in the different phyla. [Offered: F]
PHYS 263,2,Classical Mechanics and Special Relativity,True,True,False,0.3333333333333333,15,0.8461538461538461,13,0.6666666666666666,15,"Newtonian dynamics of particles and systems of particles. Oscillations. Gravity and the central force problem. Lorentz transformations and relativistic dynamics. [Offered: W,S]"
PHYS 334,2,Quantum Physics 2,True,False,False,0.3333333333333333,3,1,2,1,3,"Formalism of quantum mechanics. Operator approach to the harmonic oscillator. Quantum mechanics in three dimensions: Hydrogen atom, angular momentum and spin. Time-independent perturbation theory. Fine structure of hydrogen. Zeeman effect. Identical particles. The variational principle. Ground state of the helium atom. Applications in atomic and molecular physics. [Offered: W]"
PHYS 375,2,Stars,True,False,False,0.3333333333333333,3,1,2,1,4,"Stellar distances, masses, ages. Stellar interiors and atmospheres, star formation and evolution. Supernovae, white dwarfs, neutron stars, black holes. [Offered: W]"
BIOL 273,2,Principles of Human Physiology 1,True,True,False,0.31683168316831684,101,0.9381443298969072,97,0.7876106194690266,113,"The physiology of major organ systems of the human body. Topics include neurophysiology and peripheral nervous system, muscle, the cardiovascular system, the components of blood, respiratory system and immune system. The combination of BIOL 273 and BIOL 373 covers all of the major topics of human physiology. [Note: BIOL 273L may be required for entrance to certain professional/graduate programs. Offered: W,S]"
BIOL 273,1,Principles of Human Physiology 1,True,True,False,0.31683168316831684,101,0.9381443298969072,97,0.7876106194690266,113,"The physiology of major organ systems of the human body. Topics include neurophysiology and peripheral nervous system, muscle, the cardiovascular system, the components of blood, respiratory system and immune system. The combination of BIOL 273 and BIOL 373 covers all of the major topics of human physiology. [Note: BIOL 273L may be required for entrance to certain professional/graduate programs. Offered: W,S]"
CHEM 237,2,Introductory Biochemistry,True,False,True,0.23076923076923078,39,0.7941176470588235,34,0.3902439024390244,41,"An introduction to the chemistry of amino acids, carbohydrates, lipids and nucleic acids. Structure and properties of proteins and enzymes. [Offered: F,W, S]"
CHEM 237,1,Introductory Biochemistry,True,False,True,0.23076923076923078,39,0.7941176470588235,34,0.3902439024390244,41,"An introduction to the chemistry of amino acids, carbohydrates, lipids and nucleic acids. Structure and properties of proteins and enzymes. [Offered: F,W, S]"
ECE 209,2,Electronic and Electrical Properties of Materials,False,False,True,0.22727272727272727,22,0.7391304347826086,23,0.4166666666666667,24,"Review of wave-particle duality, basic quantum mechanics, Schrodinger equation, energy bands in crystals, basic properties of semiconductors, intrinsic and doped semiconductors, electrons and holes, metals and alloys, superconductivity, phonons and heat capacity, dielectric materials, optical properties, dielectric properties and magnetic properties of materials. [Offered: F, S]"
EARTH 221,2,Geochemistry 1,True,True,False,0.18181818181818182,11,0.7272727272727273,11,0.6363636363636364,11,"Origin, abundance and geochemistry of elements. Introduction to stable isotope geology and radiometric dating. Basic aqueous geochemistry. [Offered: W,S]"
CHEM 266,2,Basic Organic Chemistry 1,False,False,True,0.17333333333333334,75,0.8059701492537313,67,0.5833333333333334,84,"Structure, nomenclature and reactions of important classes of organic compounds. Stereochemistry and its role in reaction mechanisms. [Offered: F]"
EARTH 281,2,Geological Impacts on Human Health,True,False,False,1,2,0.5,2,0.5,2,The importance of geology to health. This includes examining the effects of volcanic gases and dust and other aerosols; tracing the sources and impacts of metals and other naturally occurring geological materials in the Earth's hydrosphere and crust; geology and the bioaccumulation of metals; and distinguishing natural versus anthropogenic processes on the geochemical distribution of toxic material in the near-surface environment. [Offered: W]
PHYS 380,2,Molecular and Cellular Biophysics,False,False,True,1,2,0,2,0,2,"Cell structure and molecular composition; intermolecular interactions and hydration; protein structure and function; cytoskeletal filaments; DNA structure, packing and chromosomes; rate equations and biological dynamics (e.g., cytoskeletal polymerization); self-assembly; cell membranes; action potentials and biological electricity; molecular motors; cell motility. [Recommended PHYS 280/BIOL 280. Offered: F, S]"
ENVE 275,2,Environmental Chemistry,True,False,False,1,1,0,0,0,0,"Overview of risk, biosphere compartments and contaminant fate. Composition of water. Electroneutrality and activity. Reactions and speciation including reaction kinetics, mass transfer, vapor pressure, equilibrium, and chemical thermodynamics. Equilibrium chemistry including Log-concentration diagrams, titration and buffering intensity, dissolution/precipitation, carbonate system, hardness, and complex formation. Classification, nomenclature, physical/chemical parameters and partitioning of organic compounds. Basic redox chemistry including: half cell reactions, Faraday and Nernst equations, and pE-pH diagrams. Four labs. [Offered: W]"
ECE 405,1,Introduction to Quantum Mechanics,True,False,False,1,1,1,1,1,1,"Introduction to quantization, wave-particle duality and the uncertainty principle The Schroedinger equation and solvable examples. Topics will include stationary states of particle-in-a-box, harmonic oscillator and the hydrogen atom. Quantization of angular momentum and spin. Introduction to approximation methods including time-independent perturbation theory. Modern applications of quantum mechanics. [Offered: W]"
PHYS 275,2,Planets,False,False,True,0.6,10,0.45454545454545453,11,0.9285714285714286,14,"Terrestrial and gas giant planets in the Solar System, asteroids and comets. Extrasolar planets and astrobiology. Star and planet formation. [Offered: F]"
CHE 161,2,Engineering Biology,True,False,False,0.4,15,0.6,15,0.6428571428571429,14,"Introduction to basic concepts of biochemistry and cell biology. Overview of the chemistry of amino acids, carbohydrates, lipids and nucleic acids. Properties and functions of biopolymers. Elements of cell structure and diversity, and relationship of biochemistry with cell metabolism. A focus on biotechnologically relevant examples such as biomimetic engineering design, proteomics, system biology and high throughput biology. [Offered: W, S]"
NE 122,1,Organic Chemistry for Nanotechnology Engineers,True,False,False,0.4,15,1,14,0.9473684210526315,19,"Nomenclature, stereochemistry and reactions of important classes of organic compounds. Reaction mechanisms and energetics. Aromaticity and simple molecular orbital theory of conjugated systems. [Offered: W]"
BIOL 211,2,Introductory Vertebrate Zoology,True,False,False,0.375,16,0.7333333333333333,15,0.7058823529411765,17,"An introduction to the structure, evolution and development of vertebrate organ systems. [Offered: W]"
BIOL 165,2,Diversity of Life,True,False,False,0.25,32,0.4827586206896552,29,0.45714285714285713,35,"An introduction to the diversity of living organisms from simple prokaryotes to complex eukaryotes. Current ideas on classification and phylogeny will be compared with traditional schemes. Morphology, ecology, and economic uses of representative Phyla and Divisions will be discussed. [Formerly BIOL 265. Offered: W]"
CHEM 262,2,Organic Chemistry for Engineering,True,False,True,0.2,5,1,3,0.6666666666666666,6,"Bonding, structure and nomenclature in organic chemistry. Physical properties and simple reactions associated with the important functional groups.[Offered: F,W]"
CHEM 262,1,Organic Chemistry for Engineering,True,False,True,0.2,5,1,3,0.6666666666666666,6,"Bonding, structure and nomenclature in organic chemistry. Physical properties and simple reactions associated with the important functional groups.[Offered: F,W]"
ECE 403,1,Thermal Physics,False,False,True,0,5,0,4,0.2,5,"Temperature and thermodynamic equilibrium. Work, internal energy and heat; first law, with examples. Kinetic theory of gases. Basic probability theory. Microscopic states and entropy. Absolute temperature, reversibility and the second law. Thermodynamic Functions and Maxwell's relations. Phase transitions. Third Law. Other applications of thermodynamics. [Formerly PHYS 258. Offered: F, S]"
CHEM 217,2,Chemical Bonding,False,False,True,0,1,1,1,1,1,"Atomic and molecular structure. Molecular symmetry. Localized bonding models. Molecular orbital theory. Structures of solids. [Not open to students in the following plans: Biochemistry, Chemical Physics, Chemistry, Computational Science (Biochemistry Specialization), Computational Science (Chemistry Specialization), Geochemistry, Science and Business (Biochemistry Specialization), Science and Business (Chemistry Specialization). Offered: F]"
CHEM 356,2,Introductory Quantum Mechanics,False,False,True,0,1,1,1,1,1,"Historical background; the differential equation approach to quantum mechanics; treatments of solvable problems such as the particle-in-a-box, harmonic oscillator, rigid rotator and the hydrogen atom; introduction to approximation methods for more complicated systems. [Note: Formerly CHEM 256. Offered: F]"
ENVE 276,2,Environmental Biology and Biotechnology,False,False,True,0,1,0,0,1,1,"Basic environmental microbiology and biology with a focus on understanding the principles governing microbial growth and activity and the function of natural, perturbed and engineered systems. Topics include basic microbial functions, microbial population growth and limiting factors, microbial community structure, and the interactions between microbes and their chemical environment. Brief introduction to the application of biological processes to remove contaminants in natural and engineered systems. [Offered: F]"
PHYS 335,2,Condensed Matter Physics,True,False,False,0,1,0,1,0,1,"Overview of condensed matter ordered and disordered systems. Thermodynamic origin of order and phase transitions. Waves. Properties of the solid state. Crystals and fractals. Overview of Fourier Series. Reciprocal lattice. Diffraction. Classical elastic theory of the crystalline state. Electrons in a periodic potential, Band structure and Fermi surface. [Offered: W]"
CHEM 404,2,Physicochemical Aspects of Natural Waters,False,False,True,0,0,0,0,0,1,"Organic (natural and synthetic) chemicals in the environment. Environmental fate of organic pollutants. Environmental (solar) photochemistry. Technologies for water and wastewater treatment (microorganisms in water purification, direct photolysis, advanced redox processes, municipal and industrial water treatment, groundwater treatment). [Offered: F]"
ECE 404,1,Geometrical and Physical Optics,False,False,True,0,0,0,0,0,0,"Electromagnetic waves and the nature of light. Geometrical optics, aberrations. Physical Optics: interference, Fraunhofer and Fresnel diffraction, polarization. Optical instruments. [Offered: F, W]"
